tmdbId,tmdb_status,tmdb_title,original_title,director,tmdb_genres,release_date,runtime,original_language,tmdb_rating,tmdb_vote_count,popularity,overview
116149,ok,Paddington,Paddington,Paul King,Comedy | Adventure | Family,2014-11-24,95.0,en,7.124,4309.0,9.1277,"A young Peruvian bear travels to London in search of a home. Finding himself lost and alone at Paddington Station, he meets the kindly Brown family, who offer him a temporary haven."
260346,ok,Taken 3,Taken 3,Olivier Megaton,Thriller | Action,2014-12-16,109.0,en,6.265,6230.0,16.158,"Ex-government operative Bryan Mills finds his life is shattered when he's falsely accused of a murder that hits close to home. As he's pursued by a savvy police inspector, Mills employs his particular set of skills to track the real killer and exact his unique brand of justice."
283330,ok,Eden,Eden,Mia Hansen-Løve,Drama | Music,2014-11-19,131.0,fr,5.821,145.0,2.7135,"Paul, a teenager in the underground scene of early-nineties Paris, forms a DJ collective with his friends and together they plunge into the nightlife of sex, drugs, and endless music."
265208,ok,Wild Card,Wild Card,Simon West,Thriller | Crime | Action,2015-01-14,92.0,en,5.7,1965.0,11.6476,"When a Las Vegas bodyguard with lethal skills and a gambling problem gets in trouble with the mob, he has one last play… and it's all or nothing."
266396,ok,The Gunman,The Gunman,Pierre Morel,Action | Drama | Crime,2015-02-16,115.0,en,5.758,1051.0,5.811,"Eight years after fleeing the Congo following his assassination of that country's minister of mining, former assassin Jim Terrier is back, suffering from PTSD and digging wells to atone for his violent past. After an attempt is made on his life, Terrier flies to London to find out who wants him dead -- and why. Terrier's search leads him to a reunion with Annie, a woman he once loved, who is now married to an oily businessman with dealings in Africa."
305091,ok,That Sugar Film,That Sugar Film,Damon Gameau,Documentary,2014-07-31,97.0,en,6.867,233.0,2.4308,"One man's journey to discover the bitter truth about sugar. Damon Gameau embarks on a unique experiment to document the effects of a high sugar diet on a healthy body, consuming only foods that are commonly perceived as 'healthy'. Through this entertaining and informative journey, Damon highlights some of the issues that plague the sugar industry, and where sugar lurks on supermarket shelves."
308504,ok,Last Knights,Last Knights,Kazuaki Kiriya,Action | Adventure,2015-04-03,115.0,en,6.384,1173.0,7.732,"When an evil emperor executes their leader, his band of knights – bound by duty and honour – embarks on a journey of vengeance that will not come to an end until they've destroyed their mortal foe."
274854,ok,The Last Witch Hunter,The Last Witch Hunter,Breck Eisner,Action | Adventure | Fantasy,2015-10-21,106.0,en,6.0,3893.0,8.9347,"The modern world holds many secrets, but by far the most astounding is that witches still live among us; vicious supernatural creatures intent on unleashing the Black Death upon the world and putting an end to the human race once and for all. Armies of witch hunters have battled this unnatural enemy for centuries, including Kaulder, a valiant warrior who many years ago slayed the all-powerful Witch Queen, decimating her followers in the process. In the moments right before her death, the Queen cursed Kaulder with immortality, forever separating him from his beloved wife and daughter. Today, Kaulder is the last living hunter who has spent his immortal life tracking down rogue witches, all the while yearning for his long-lost family."
321697,ok,Steve Jobs,Steve Jobs,Danny Boyle,Drama | History,2015-10-09,122.0,en,6.774,4419.0,6.5757,"Set backstage at three iconic product launches and ending in 1998 with the unveiling of the iMac, Steve Jobs takes us behind the scenes of the digital revolution to paint an intimate portrait of the brilliant man at its epicenter."
239568,ok,Search Party,Search Party,Scot Armstrong,Comedy,2014-10-30,93.0,en,5.329,207.0,2.9659,Two oafs must rescue their stranded pal in Mexico.
300671,ok,13 Hours: The Secret Soldiers of Benghazi,13 Hours: The Secret Soldiers of Benghazi,Michael Bay,War | History | Drama,2016-01-14,144.0,en,7.281,4020.0,12.782,An American Ambassador is killed during an attack at a U.S. compound in Libya as a security team struggles to make sense out of the chaos.
228066,ok,Victor Frankenstein,Victor Frankenstein,Paul McGuigan,Drama | Science Fiction | Thriller,2015-11-10,110.0,en,6.0,2304.0,5.2195,Eccentric scientist Victor Von Frankenstein creates a grotesque creature in an unorthodox scientific experiment.
334543,ok,Lion,Lion,Garth Davis,Drama,2016-11-24,118.0,en,8.038,7022.0,9.2006,"A five-year-old Indian boy gets lost on the streets of Calcutta, thousands of kilometers from home. He survives many challenges before being adopted by a couple in Australia; 25 years later, he sets out to find his lost family."
22311,ok,The Inglorious Bastards,Quel maledetto treno blindato,Enzo G. Castellari,Action | War | Adventure,1978-02-08,99.0,it,6.246,263.0,2.9915,"Set in Europe during WWII, a group of American soldiers on their way to military prison are beset upon by a German artillery attack, escaping with Switzerland in their sights. Before making it any farther, they volunteer to steal a V2 warhead for the French Underground - taking them deep into the heart of German territory."
24420,ok,The Time Traveler's Wife,The Time Traveler's Wife,Robert Schwentke,Drama | Romance | Fantasy,2009-08-14,107.0,en,6.949,2750.0,7.3539,"Due to a genetic disorder, handsome librarian Henry DeTamble involuntarily zips through time, appearing at various moments in the life of his true love, the beautiful artist Clare Abshire."
